Unnamed: 0,cause_0,effect_0,cause_1,effect_1,label
224,The airplane crashed.,The engine of the airplane was faulty.,The pilot made an error.,The engine of the airplane was faulty.,0
225,Cars moved to the shoulder of the road.,The traffic light turned green.,Cars moved to the shoulder of the road.,A screaming ambulance approached.,1
226,The boy lost hold of the bar of soap.,The bar was slippery.,The boy lost hold of the bar of soap.,The bar emitted a fragrance.,0
227,I sewed the button back on.,The button on my shirt fell off.,I glued the button back on.,The button on my shirt fell off.,0
228,The celebrity wore sunglasses.,She wanted to thank her fans.,The celebrity wore sunglasses.,She wanted to avoid recognition.,1
229,My family held a funeral.,My grandmother passed away.,My family held a reunion.,My grandmother passed away.,0
230,The celebrity offered the officer a bribe.,The police officer pulled over the celebrity.,The celebrity sued the police officer.,The police officer pulled over the celebrity.,0
231,The man fell unconscious.,The assailant struck the man in the head.,The man fell unconscious.,The assailant took the man's wallet.,0
232,I approached the man.,He looked busy.,I approached the man.,He looked familiar.,1
233,The leader received praise.,He fought poverty.,The leader received praise.,He raised taxes.,0
234,He sipped coffee.,The man read the cartoon in the newspaper.,He chuckled.,The man read the cartoon in the newspaper.,1
235,My mailbox was overflowing with letters.,The lid on the mailbox broke.,My mailbox was overflowing with letters.,I went on vacation for two weeks.,1
236,We squeezed them.,The bananas ripened.,We ate them.,The bananas ripened.,1
237,The dough crumbled.,The chef pressed down on the dough.,The dough flattened.,The chef pressed down on the dough.,1
238,The clay hardened.,The potter rolled the clay into a ball.,The clay hardened.,The potter put the clay in the oven.,1
239,My feet were blistered.,I went hiking.,My feet were blistered.,I went swimming.,0
240,Her friend sent her a greeting card.,The woman betrayed her friend.,Her friend cut off contact with her.,The woman betrayed her friend.,1
241,The man took notice of the woman.,He caught a whiff of her perfume.,The man took notice of the woman.,He had his back turned to her.,0
242,They stopped seeing each other.,The woman and her boyfriend got into a fight.,They planned a vacation together.,The woman and her boyfriend got into a fight.,0
243,The bully picked up his classmate.,The bully stuck his foot out in front of his classmate.,The bully's classmate tripped.,The bully stuck his foot out in front of his classmate.,1
244,The man framed his enemy for a crime.,The man wanted to get revenge on his enemy.,The man declared a truce with his enemy.,The man wanted to get revenge on his enemy.,0
245,My yawning ceased.,I drank a cup of coffee.,I nodded off to sleep.,I drank a cup of coffee.,0
246,The woman was mistaken for her sister.,The woman was close with her sister.,The woman was mistaken for her sister.,The woman looked like her sister.,1
247,The man made an error in his calculations.,He checked his work.,The man made an error in his calculations.,His work was hasty.,1
248,The woman's eyeglasses fogged up.,She reclined by the pool.,The woman's eyeglasses fogged up.,She entered the sauna.,1
249,He checked its price tag.,The shopper wondered about the cost of the item.,He decided to buy it.,The shopper wondered about the cost of the item.,0
250,The host of the trivia show called on the contestant for an answer.,The contestant was in the lead.,The host of the trivia show called on the contestant for an answer.,The contestant rang the buzzer.,1
251,The boy was afraid to go to bed.,He turned on his nightlight.,The boy was afraid to go to bed.,He watched a horror movie.,1
252,She visited the hospital.,The woman wanted to be a doctor.,She went to medical school.,The woman wanted to be a doctor.,1
253,He recorded it.,The boy found the television show boring.,He shut it off.,The boy found the television show boring.,1
254,I encouraged her to take deep breaths.,My daughter suffered an allergy attack.,I took her to the emergency room.,My daughter suffered an allergy attack.,1
255,He refused to wear the shirt.,The boy had trouble buttoning his shirt.,He asked his mother for help.,The boy had trouble buttoning his shirt.,1
256,I spit out my chewing gum.,I blew a bubble with the gum.,I spit out my chewing gum.,The gum lost its flavor.,1
257,His mother hung the picture on the wall.,The boy painted a picture for his mother.,His mother sold the picture to a gallery.,The boy painted a picture for his mother.,0
258,The teams got pumped up.,The competition ended.,The teams shook hands.,The competition ended.,1
259,The girl politely declined the hamburger.,She was a vegetarian.,The girl politely declined the hamburger.,She liked fast food.,0
260,I got rid of the stain.,I scrubbed the stain on the floor.,I got dirt on the floor.,I scrubbed the stain on the floor.,0
261,I paper clipped them together.,The documents contained important information.,I kept them in a secure place.,The documents contained important information.,1
262,The egg splattered.,I dropped it.,The egg splattered.,I boiled it.,0
263,Her friend choked.,The girl pushed her friend.,Her friend fell over.,The girl pushed her friend.,1
264,The host of the party kicked them out.,A group of teenagers crashed the party.,The host of the party invited them in.,A group of teenagers crashed the party.,0
265,The man took a shower.,He was sweaty from working out.,The man took a shower.,He opened a new bar of soap.,0
266,It was adapted into a movie.,The book became a huge bestseller.,The author faded into obscurity.,The book became a huge bestseller.,0
267,The man felt thankful to be alive.,He was cured of cancer.,The man felt thankful to be alive.,His wife was diagnosed with cancer.,0
268,The woman wrote a check to the gas company.,She preferred paying by cash.,The woman wrote a check to the gas company.,She received her monthly bill.,1
269,The woman felt reluctant to switch careers.,She made a lot of money in her current occupation.,The woman felt reluctant to switch careers.,She endured a lot of stress in her current occupation.,0
270,The woman filed a restraining order against the man.,The man called her.,The woman filed a restraining order against the man.,The man stalked her.,1
271,The swimmers put on more sunscreen.,The ocean tide was dangerous.,The swimmers returned towards the shore.,The ocean tide was dangerous.,1
272,The woman refused a second beer.,She was the designated driver for the night.,The woman refused a second beer.,She was familiar with the bartender.,0
273,I ran out of breath.,I climbed several flights of stairs.,I ran out of breath.,I read several chapters of the book.,0
274,She was sent to a psychiatric institution.,The woman was deemed mentally ill.,She sought a career as a psychiatrist.,The woman was deemed mentally ill.,0
275,The woman glanced at her watch.,The sun emerged from the clouds.,The woman took her sweater off.,The sun emerged from the clouds.,1
276,The football coach lost his voice after the game.,He yelled whenever a player fumbled the ball.,The football coach lost his voice after the game.,He whistled whenever a player scored a touchdown.,0
277,He sneezed.,The woman complimented the man.,He blushed.,The woman complimented the man.,1
278,It healed.,I applied pressure to the cut on my arm.,It stopped bleeding.,I applied pressure to the cut on my arm.,1
279,She took antibiotics.,The woman had an infection.,She washed her hands.,The woman had an infection.,0
280,The woman fanned herself with her hand.,She installed the air conditioner in the room.,The woman fanned herself with her hand.,The air conditioner in the room broke.,1
281,The doctors amputated the patient's leg.,It was badly bruised.,The doctors amputated the patient's leg.,It was severely infected.,1
282,The girl stared at herself in the mirror.,She felt self-conscious.,The girl stared at herself in the mirror.,The mirror was smudged.,0
283,The man was bitten by mosquitoes.,He went camping in the woods.,The man was bitten by mosquitoes.,He fell asleep on his couch.,0
284,Her brother refused to accept the gift.,The woman presented her brother with a gift.,Her brother unwrapped the gift.,The woman presented her brother with a gift.,1
285,The meeting was postponed.,The administrator cleared her throat.,The meeting commenced.,The administrator cleared her throat.,1
286,The children ran through the sprinkler.,They ate popsicles.,The children ran through the sprinkler.,They were hot.,1
287,He searched under his car seats for loose change.,The man needed coins to fill the parking meter.,He begged people on the street for loose change.,The man needed coins to fill the parking meter.,0
288,The vender sold it to him.,The customer thought the souvenir was overpriced.,He bargained with the vendor.,The customer thought the souvenir was overpriced.,1
289,The scientist gained recognition.,She discovered a new species.,The scientist gained recognition.,She received tenure at the university.,0
290,The pedestrian crossed the road.,The car stopped at the crosswalk.,The pedestrian waited on the sidewalk.,The car stopped at the crosswalk.,0
291,The boy giggled uncontrollably.,His brother tickled him.,The boy giggled uncontrollably.,His brother kicked him.,0
292,I caught myself on the railing.,My knees buckled on the stairs.,The railing came loose from the wall.,My knees buckled on the stairs.,0
293,I went to bed.,It was a clear night.,I went to bed.,It was late.,1
294,I dropped her off at the hospital.,My friend was recovering from surgery.,I brought her a card and flowers.,My friend was recovering from surgery.,1
295,People left the party.,The DJ turned the music on.,People began to dance.,The DJ turned the music on.,1
296,The security guard replayed the surveillance footage.,The surveillance camera was out of focus.,The security guard replayed the surveillance footage.,He noticed some suspicious activity.,1
297,I lingered in bed upon awakening.,I was hungry.,I lingered in bed upon awakening.,It was Saturday.,1
298,He put out his back.,The man lifted the heavy box.,He scratched his back.,The man lifted the heavy box.,0
299,The woman's purse was missing.,It contained a lot of junk.,The woman's purse was missing.,She left it unsupervised.,1
300,The woman suffered amnesia.,She had an allergic reaction.,The woman suffered amnesia.,She got into a car accident.,1
301,I went to the bank.,I needed to get cash.,I bought a wallet.,I needed to get cash.,0
302,The rider fell to the ground.,The bull bucked the rider.,The rider fell to the ground.,The bull chased the rider.,0
303,He lifted weights.,The boy wanted to be muscular.,He played computer games.,The boy wanted to be muscular.,0
304,She validated her theory.,The scientist conducted an experiment.,She fabricated her data.,The scientist conducted an experiment.,0
305,The milk stayed cold.,It was pasteurized.,The milk stayed cold.,I stored it in the refrigerator.,1
306,The fussy baby calmed down.,The parents shook a rattle in front of the baby.,The fussy baby calmed down.,The parents picked out a name for the baby.,0
307,The soup cooled down.,I put ice cubes in the hot soup.,The soup became thick.,I put ice cubes in the hot soup.,0
308,The girl shared her lunch with her friend.,Her friend forgot to bring his lunch.,The girl shared her lunch with her friend.,Her friend sat next to her at lunch.,0
309,The police closed the investigation.,They apprehended the suspect.,The police closed the investigation.,The victim recovered.,0
310,I went for a walk.,The rain subsided.,I browsed the internet.,The rain subsided.,0
311,I blew on it.,The cup of tea was scalding hot.,I poured it out.,The cup of tea was scalding hot.,0
312,The photograph faded.,It was fake.,The photograph faded.,It was old.,1
313,The boy got a black eye.,The bully mocked the boy.,The boy got a black eye.,The bully punched the boy.,1
314,I retrieved my phone.,I misplaced my wallet.,I retraced my steps.,I misplaced my wallet.,1
315,He reloaded the gun.,The hunter ran out of ammunition.,He aimed at the deer.,The hunter ran out of ammunition.,0
316,The ice cube stuck to my fingers.,I ran the ice cube under warm water.,The ice cube vanished.,I ran the ice cube under warm water.,1
317,The customer came into the boutique.,She left her wallet at home.,The customer came into the boutique.,The window display caught her eye.,1
318,The man drank water with his meal.,His meal was cold.,The man drank water with his meal.,His meal was spicy.,1
319,The woman stayed away from public places.,She was contagious.,The woman stayed away from public places.,She was intoxicated.,0
320,I clamped my hand over my nose.,The putrid odor filled the room.,I put the rubber gloves on.,The putrid odor filled the room.,0
321,The employee missed work.,Her family got in touch with her.,The employee missed work.,There was a death in her family.,1
322,The paperclip dropped from the magnet.,The magnet attracted the paperclip.,The paperclip stuck to the magnet.,The magnet attracted the paperclip.,1
323,The weeds came out of the soil.,The gardener pulled the weeds.,The weeds produced seeds.,The gardener pulled the weeds.,0
324,The pizza was delivered.,We ordered a pizza.,The pizza got cold.,We ordered a pizza.,0
325,The teenager grew taller than his father.,He went through a growth spurt.,The teenager grew taller than his father.,He joined the basketball team.,0
326,The patient underwent the risky medical procedure.,The procedure was costly.,The patient underwent the risky medical procedure.,Specialists recommended the procedure.,1
327,He hopped the fence.,The man caught his shirtsleeve on the rungs of the fence.,The sleeve ripped.,The man caught his shirtsleeve on the rungs of the fence.,1
328,The investigators deemed the man's death a suicide.,He left a note.,The investigators deemed the man's death a suicide.,He had children.,0
329,The computer crashed.,I backed up my files.,The computer crashed.,I downloaded a virus.,1
330,The girl's mouth ached.,She lost a tooth.,The girl's mouth ached.,She swallowed her gum.,0
331,I opened the blinds.,The room was dim.,I washed the windows.,The room was dim.,0
332,The father put his daughter in her stroller.,She learned to walk.,The father put his daughter in her stroller.,He was tired of carrying her.,1
333,The spy discovered the enemy's location.,The spy bugged the enemy's phone.,The spy discovered the enemy's location.,The spy was hired by the government.,0
334,The glasses on the table spilled.,The child drew on the table.,The glasses on the table spilled.,The child yanked the tablecloth.,1
335,The teapot cooled.,The water in the teapot started to boil.,The teapot whistled.,The water in the teapot started to boil.,1
336,The woman exaggerated the details of the story.,She wanted attention.,The woman exaggerated the details of the story.,She felt shy.,0
337,She retired.,The woman hit a midlife crisis.,She went sky diving.,The woman hit a midlife crisis.,1
338,He got over it easily.,The man went into denial about the tragedy.,He refused to talk about it.,The man went into denial about the tragedy.,1
339,The man grieved.,His wife criticized him.,The man grieved.,His mother passed away.,1
340,The girl had a phobia of dogs.,She rescued an abandoned dog.,The girl had a phobia of dogs.,She was bitten by a dog.,1
341,I attended a yoga class.,I made a resolution to eat a healthy diet.,I bought fruits and vegetables.,I made a resolution to eat a healthy diet.,1
342,The patient went into a coma.,He suffered emotional trauma.,The patient went into a coma.,He suffered brain damage.,1
343,The conversation quieted down.,The friends' dinnertime conversation turned to politics.,A debate erupted.,The friends' dinnertime conversation turned to politics.,1
344,She sent the children to daycare.,The mother needed help looking after her children.,She gave up custody of the children.,The mother needed help looking after her children.,0
345,He withdrew money from his savings account.,The man wanted to save money.,He cut back on making frivolous purchases.,The man wanted to save money.,1
346,I put shoes on.,The floor contained broken glass.,I put shoes on.,The paint on the walls was wet.,0
347,The librarian located the book in the stacks.,I requested the librarian's help.,The librarian located the book in the stacks.,The book was checked out.,0
348,The mother became eye level with her son.,She squatted down.,The mother became eye level with her son.,She held his hand.,0
349,I packed up my belongings.,I was hunting for a new apartment.,I packed up my belongings.,I was moving out of my apartment.,1
350,She ran away from home.,The girl desired her parent's approval.,She obeyed her parent's rules.,The girl desired her parent's approval.,1
351,The motorcyclist died.,The truck crashed into the motorcycle on the bridge.,The bridge collapsed.,The truck crashed into the motorcycle on the bridge.,0
352,She received a gold medal.,The swimmer won the race.,Her team lost the meet.,The swimmer won the race.,0
353,Air pollution in the city worsened.,Factories increased their production.,Air pollution in the city worsened.,Factories shut down.,0
354,The mother scolded her daughter.,Her daughter burped at the kitchen table.,The mother scolded her daughter.,Her daughter set the kitchen table.,0
355,I excused myself from the group.,I turned off my phone.,I excused myself from the group.,My phone rang.,1
356,The skier slipped on the slope.,She dropped her ski poles.,The skier slipped on the slope.,She hit a patch of ice.,1
357,The man put his glasses on.,The print on the brochure was tiny.,The man retrieved a pen from his pocket.,The print on the brochure was tiny.,0
358,The light faded.,I flipped the light switch up and down.,The light flickered.,I flipped the light switch up and down.,1
359,He waited at the bus stop.,The man's watch was broken.,He asked a stranger for the time.,The man's watch was broken.,1
360,The soldiers were concealed in the brush.,They were armed with rifles.,The soldiers were concealed in the brush.,They wore camouflage uniforms.,1
361,The toilet filled with water.,The man turned on the faucet.,Water flowed from the spout.,The man turned on the faucet.,1
362,She poured milk in the bowl.,The girl found a bug in her cereal.,She lost her appetite.,The girl found a bug in her cereal.,1
363,She received her pension.,The woman retired.,She paid off her mortgage.,The woman retired.,0
364,I swept the floor in the unoccupied room.,I wanted to conserve energy.,I shut off the light in the unoccupied room.,I wanted to conserve energy.,1
365,The hamburger meat browned.,The cook froze it.,The hamburger meat browned.,The cook grilled it.,1
366,I turned his offer down.,I doubted the salesman's pitch.,He persuaded me to buy the product.,I doubted the salesman's pitch.,0
367,I decided to stay home for the night.,The forecast called for storms.,I decided to stay home for the night.,My friends urged me to go out.,0
368,My eyes became red and puffy.,I was sobbing.,My eyes became red and puffy.,I was laughing.,0
369,The flame on the candle went out.,I blew on the wick.,The flame on the candle went out.,I put a match to the wick.,0
370,He had a headache the next day.,The man drank heavily at the party.,He had a runny nose the next day.,The man drank heavily at the party.,0
371,The bowling ball knocked over the bowling pins.,The man rolled the bowling ball down the alley.,The bowling ball knocked over the bowling pins.,The man dropped the bowling ball on his foot.,0
372,The community learned of the man's death.,His family buried him in the cemetery.,The community learned of the man's death.,His obituary appeared in the newspaper.,1
373,I installed new speakers.,My computer crashed.,I lost all my data.,My computer crashed.,1
374,The woman resigned from her job.,She aspired to hold an executive position in the firm.,The woman resigned from her job.,She believed her superiors were acting unethically.,1
375,The judge pounded the gavel.,The courtroom broke into uproar.,The judge pounded the gavel.,The jury announced its verdict.,0
376,The kidnappers released the hostage.,They accepted ransom money.,The kidnappers released the hostage.,They escaped from jail.,0
377,The cook's eyes watered.,He ran out of onions.,The cook's eyes watered.,He cut an onion.,1
378,The woman ran her finger under cold water.,She burned her finger on the toaster.,The woman ran her finger under cold water.,She put a diamond ring on her finger.,0
379,The teacher corrected her.,The student misspelled the word.,The teacher dismissed her.,The student misspelled the word.,0
380,I regained composure from my fit of anger.,My heart pounded.,I regained composure from my fit of anger.,I took deep breaths.,1
381,The soap rinsed off my hands.,I put my hands under the running faucet.,The water splashed in my face.,I put my hands under the running faucet.,0
382,The man dressed in his best suit.,He scheduled a meeting with an important client.,The man dressed in his best suit.,His wife bought him a new tie.,0
383,The woman rejected him.,The man confessed his love for the woman.,The woman envied him.,The man confessed his love for the woman.,0
384,The driver got a flat tire.,He went over the speed limit.,The driver got a flat tire.,He ran over a nail.,1
385,My view of the movie screen was blocked.,The couple behind me was whispering.,My view of the movie screen was blocked.,A tall person was sitting in front of me.,1
386,Her father told her to drink her milk.,The girl refused to eat her vegetables.,Her father took away her dessert.,The girl refused to eat her vegetables.,1
387,The caller's phone lost reception.,The secretary put the caller on hold.,The caller waited on the line.,The secretary put the caller on hold.,1
388,The woman walked with crutches.,She shaved her legs.,The woman walked with crutches.,She broke her leg.,1
389,The clock chimed.,It was the top of the hour.,The clock chimed.,The hour seemed to drag on.,0
390,The egg cracked.,The chef hit the egg on the side of the bowl.,The egg rotted.,The chef hit the egg on the side of the bowl.,0
391,The police searched the offender's car.,They were trying to elicit a confession.,The police searched the offender's car.,They were looking for illegal drugs.,1
392,The couple travelled south for the winter.,They were retired.,The couple travelled south for the winter.,They were separated.,0
393,The man felt obligated to attend the event.,He turned down his friend's invitation to go.,The man felt obligated to attend the event.,He promised his friend that he would go.,1
394,His hair turned gray.,The man grew old.,He sold his belongings.,The man grew old.,0
395,They cut the hamburger in half.,The friends decided to share the hamburger.,They ordered fries with the hamburger.,The friends decided to share the hamburger.,0
396,The soda fizzed.,I twisted the cap off the soda bottle.,The soda leaked out.,I twisted the cap off the soda bottle.,0
397,The pair of students came under scrutiny by the teacher.,The students both received excellent grades.,The pair of students came under scrutiny by the teacher.,Their responses on the assignment were identical.,1
398,He left his assignment at home.,The student was in a rush to get to school on time.,He brought his lunch to school.,The student was in a rush to get to school on time.,0
399,The journalist wrote a biography about the humanitarian's life.,The humanitarian was difficult for the journalist to interview.,The journalist wrote a biography about the humanitarian's life.,The journalist was intrigued by the humanitarian's work.,1
400,He donated money to the church.,The man defied the authorities of the church.,He was excommunicated from the church.,The man defied the authorities of the church.,1
401,She pulled her hair back with a clip.,The woman's hair fell in her face.,She lathered shampoo into her hair.,The woman's hair fell in her face.,0
402,The ring on my finger got stuck.,My finger swelled.,The ring on my finger got stuck.,I chipped my fingernail.,0
403,It flung across the room.,I pulled the rubber band.,It stretched.,I pulled the rubber band.,1
404,My skin broke out into a rash.,I brushed against poison ivy in my yard.,My skin broke out into a rash.,I eradicated the poison ivy from my yard.,0
405,I discarded the new issue.,My subscription to the magazine expired.,I stopped receiving new issues.,My subscription to the magazine expired.,1
406,He finalized his theory.,The detective revealed an anomaly in the case.,He scrapped his theory.,The detective revealed an anomaly in the case.,1
407,The boy threw a temper tantrum.,His brother took his toys from him.,The boy threw a temper tantrum.,He shared his toys with his brother.,0
408,The child learned how to read.,He began attending school.,The child learned how to read.,He skipped a grade in school.,0
409,The boy skipped dinner.,His mother cooked his favorite meal.,The boy skipped dinner.,He ate a big lunch.,1
410,The woman lavished her friend with flattery.,She wanted to ask her friend for a favor.,The woman lavished her friend with flattery.,She was irritated with her friend's whining.,0
411,The key was missing from my pants pocket.,The pocket had a hole.,The key was missing from my pants pocket.,The pants were new.,0
412,The man fainted.,He took a nap.,The man fainted.,He ran a marathon.,1
413,The man lost the competition.,The competition was sabotaged.,The man lost the competition.,He intimidated his competitors.,0
414,The mother called an ambulance.,Her son lost his cat.,The mother called an ambulance.,Her son fell out of his bed.,1
415,The driver slammed on his brakes.,A deer appeared on the road.,The driver slammed on his brakes.,The car radio shut off.,0
416,The lock opened.,I turned the key in the lock.,The lock opened.,I made a duplicate of the key.,0
417,I put rubber gloves on.,I was preparing to wash my hands.,I put rubber gloves on.,I was preparing to clean the bathroom.,1
418,The animal species became endangered.,Their habitat was destroyed.,The animal species became endangered.,Their predators went extinct.,0
419,The man perceived that the woman looked different.,The woman got her hair cut.,The man perceived that the woman looked different.,The woman wore a bracelet.,0
420,She made up an excuse to tell the teacher.,The student forgot to do her assignment.,The teacher promoted her to the next grade.,The student forgot to do her assignment.,0
421,The dog barked.,The cat lounged on the couch.,The dog barked.,A knock sounded at the door.,1
422,Environmentalists started a petition.,Plans were announced to replace a local park with a shopping mall.,Environmentalists produced a documentary.,Plans were announced to replace a local park with a shopping mall.,0
423,The woman asked the man to leave.,He insulted her.,The woman asked the man to leave.,He thanked her.,0
424,The branch moved downstream.,The tree branch landed in the river.,The river's current became stronger.,The tree branch landed in the river.,0
425,The students passed notes.,The teacher assigned homework to the students.,The students groaned.,The teacher assigned homework to the students.,1
426,People evacuated their homes.,The seasons changed from summer to autumn.,Leaves fell from the trees.,The seasons changed from summer to autumn.,1
427,He campaigned for re-election.,The politician was convicted of fraud.,He was removed from office.,The politician was convicted of fraud.,1
428,The objects in the wagon fell out.,I pushed the wagon.,The wagon wheels spun forward.,I pushed the wagon.,1
429,The president vetoed the bill.,The lobbyist persuaded the legislature to support the bill.,The legislature passed the bill.,The lobbyist persuaded the legislature to support the bill.,1
430,I organized it.,My closet was messy.,I decorated it.,My closet was messy.,0
431,I had vivid dreams that night.,I stayed up late.,I was tired in the morning.,I stayed up late.,1
432,The man's pocket jingled as he walked.,His pocket was filled with coins.,The man's pocket jingled as he walked.,He sewed the hole in his pocket.,0
433,Everyone in the class turned to stare at the student.,The student's phone rang.,Everyone in the class turned to stare at the student.,The student took notes.,0
434,The horse bucked.,A fly bit the horse.,The horse bucked.,The rider stroked the horse.,0
435,The stolen jewelry was returned to its owners.,The jewelry thieves were caught.,The cost of the stolen jewelry was calculated.,The jewelry thieves were caught.,0
436,Many citizens relocated to the capitol.,Political violence broke out in the nation.,Many citizens took refuge in other territories.,Political violence broke out in the nation.,1
437,The woman was arrested.,She checked into rehab.,The woman was arrested.,She committed assault.,1
438,She discovered the outcome of the election.,The woman read the newspaper.,She casted a vote in the election.,The woman read the newspaper.,0
439,His friend got sick.,The sick child coughed on his friend.,His friend sneezed.,The sick child coughed on his friend.,0
440,The woman contacted the real estate agent.,The woman planned to buy a condo.,The woman contacted the real estate agent.,The woman needed to clean her house.,0
441,Wax dripped off the candle.,I lit the candle.,The wax on the candle hardened.,I lit the candle.,0
442,I sprained my ankle.,I spent the day at the pool.,My face got sunburned.,I spent the day at the pool.,1
443,The man received a parking ticket.,He parallel parked on the street.,The man received a parking ticket.,The parking meter expired.,1
444,Photographers followed her.,The woman became famous.,Her family avoided her.,The woman became famous.,0
445,My ears were ringing.,I went to a museum.,My ears were ringing.,I went to a concert.,1
446,I tidied up my house.,I was swamped with work.,I tidied up my house.,I was expecting company.,1
447,They offered me compensation.,The airline mishandled my luggage.,They cancelled my flight.,The airline mishandled my luggage.,0
448,I got it repaired.,The computer was expensive to fix.,I bought a new one.,The computer was expensive to fix.,1
449,She engaged in small talk with her friend.,The woman was in a bad mood.,She told her friend to leave her alone.,The woman was in a bad mood.,1
